ID,이용금액
ID_2575,5491689839.13
ID_6637,40125852.0
ID_5704,2410007.0
ID_3606,1700812.87
ID_6443,577434.7
ID_2514,444560942.7
ID_1099,42727516.4
ID_6504,313962958.34
ID_3335,7947472796.0
ID_4770,250497409.29
ID_433,347027865.91
ID_6751,778748769.89
ID_2635,7615416.37
ID_2773,878271168.59
ID_5167,219229537.64
ID_2879,281968094.8
ID_2778,3153661.03
ID_6548,3224518.6
ID_124,385353090.6
ID_3700,578010.1
ID_6949,42179566.84
ID_2727,213592790.05
ID_5315,233791391.86
ID_5222,362306022.19
ID_6916,1750144198.8
ID_5034,448559.5
ID_4971,83702630.27
ID_4147,259678374.67
ID_6503,20201121.22
ID_3622,595522543.39
ID_3642,4160033360.96
ID_4988,387814906.43
ID_255,364089379.88
ID_1349,273880861.95
ID_5208,52034569.09
ID_3780,318410989.24
ID_1326,90824345.44
ID_1375,532011286.36
ID_3283,15688382.66
ID_6265,987927305.54
ID_31,594746184.0
ID_2498,49849891.28
ID_3664,231884053.91
ID_1588,943663.2
ID_3310,494571622.74
ID_7116,90868316.26
ID_3122,1957445229.3
ID_4228,1925057768.7
ID_2778,3153661.03
ID_3391,28308884.0
ID_5681,1263328.8
ID_5927,18243808.51
ID_6143,102892874.09
ID_2990,229891436.49
ID_6792,76270093.25
ID_4530,2108708.48
ID_4602,1946409456.3
ID_5865,96903618.82
ID_3565,35260826.06
ID_4488,4085304.79
ID_2807,10150632945.4
ID_1425,64288020.86
ID_918,30573740.8
ID_4856,8122772922.07
ID_6650,274023191.26
ID_1909,597999116.21
ID_3657,5453896503.1
ID_1721,880630815.04
ID_5993,246119069.63
ID_366,76252821.7
ID_5884,329578468.17
ID_4570,255513709.84
ID_2494,8113539.6
ID_3155,309026919.33
ID_96,141502173.4
ID_5675,391069263.57
ID_4896,402815963.14
ID_5618,641069.4
ID_7048,333108729.63
ID_5708,710855627.46
ID_1790,1957445229.3
ID_2856,655520946.22
ID_6178,578249208.53
